bedroom,bathrooms,area,furnishing,floor_number,parking,powerbackup,gate_community,location,rent,location_encoded,furnishing_encoded
4,4,1650.0,Unfurnished,8,1,1,Yes,Bramha Sun City Phase 2,45000.0,44,2
2,2,1000.0,Semifurnished,8,1,2,Yes,Magarpatta City Jasminium,21000.0,169,1
3,3,0.0,Unfurnished,9,1,0,No,Rohan Abhilasha,18000.0,276,2
2,1,650.0,Semifurnished,0,0,0,No,Shahu Colony,12000.0,293,1
2,2,665.0,Semifurnished,1,0,2,Yes,Majestique Magnum,10000.0,176,1
2,2,850.0,Semifurnished,7,0,1,Yes,Bunty Mayur Kilbil,17500.0,46,1
2,2,0.0,Unfurnished,0,1,0,No,Hadapsar,10000.0,105,2
3,3,1300.0,Unfurnished,3,1,2,Yes,Sudhir Mandke Advantage Homes,25000.0,303,2
3,3,1400.0,Unfurnished,5,1,2,Yes,Goel Ganga Satellite,30000.0,99,2
2,2,0.0,Unfurnished,4,1,2,Yes,ARV Ganga Kingston,17000.0,3,2
2,2,800.0,Unfurnished,5,1,1,Yes,Majestique City,11000.0,175,2
1,1,450.0,Semifurnished,6,1,0,Yes,GK Dayal Heights,17000.0,72,1
2,2,0.0,Unfurnished,8,1,1,Yes,GKG The Kings Way,26000.0,79,2
3,4,3000.0,Unfurnished,1,1,2,Yes,K Raheja Vistas Premiere maxima,42000.0,116,2
1,1,0.0,Unfurnished,1,1,0,No,Thergaon,8000.0,314,2
2,2,950.0,Unfurnished,6,1,2,Yes,Clover Village,22000.0,52,2
2,1,970.0,Semifurnished,1,2,0,Yes,Rahul Cooperative Housing Society,24000.0,267,1
3,2,1200.0,Unfurnished,1,1,0,No,Kumar Kruti,24000.0,151,2
1,2,0.0,Unfurnished,2,0,0,No,Paranjape Blue Ridge,19000.0,236,2
3,3,1420.0,Semifurnished,1,1,1,No,Baner,28000.0,31,1
2,2,1070.0,Unfurnished,5,1,2,Yes,Rohan Leher,22000.0,277,2
2,2,1000.0,Unfurnished,3,1,2,Yes,Sudhir Mandke Advantage Homes,18000.0,303,2
1,1,0.0,Unfurnished,3,1,0,No,Hadapsar,8000.0,105,2
1,2,700.0,Unfurnished,1,1,0,No,Mahindra Antheia,19000.0,174,2
1,1,0.0,Unfurnished,0,1,0,No,Hadapsar,7000.0,105,2
1,1,500.0,Furnished,0,0,0,No,Kothrud,15000.0,149,0
2,2,0.0,Semifurnished,1,1,1,Yes,Hill Shire,11900.0,108,1
2,2,795.0,Semifurnished,5,1,2,No,Rohan Tarang,22000.0,279,1
2,2,1100.0,Semifurnished,3,1,0,Yes,Neco Gardens,20000.0,211,1
2,1,825.0,Semifurnished,1,0,1,Yes,Planet Millennium CHS,16000.0,248,1
3,3,0.0,Furnished,4,1,0,Yes,DSK Gandhakosh,32000.0,55,0
2,2,0.0,Unfurnished,6,1,2,Yes,Greenland Society,18000.0,104,2
1,1,0.0,Unfurnished,0,1,1,No,Lohegaon,6000.0,162,2
3,2,1150.0,Semifurnished,7,1,0,No,Megapolis Splendour,25000.0,196,1
2,2,0.0,Furnished,3,1,0,No,Magarpatta City Iris,27000.0,168,0
2,2,0.0,Semifurnished,6,1,1,Yes,Dheeraj Jade Residences,13500.0,60,1
2,2,800.0,Semifurnished,6,1,2,Yes,Bella Casa Baner,16000.0,33,1
3,3,1760.0,Unfurnished,1,1,0,Yes,Green valley,34000.0,103,2
2,2,1000.0,Semifurnished,1,1,2,Yes,Kolte Patil Western Avenue,21000.0,146,1
2,2,418.0,Unfurnished,0,1,1,No,Xrbia Hinjewadi,7000.0,339,2
2,2,800.0,Unfurnished,7,1,1,Yes,Puraniks Aldea,16000.0,262,2
1,1,0.0,Semifurnished,4,1,0,No,Wadgaon Sheri,15000.0,333,1
2,2,800.0,Semifurnished,1,2,1,Yes,5 Star Royal Entrada,19000.0,0,1
2,2,625.0,Unfurnished,1,1,2,No,Kohinoor Tinsel County,13000.0,136,2
1,2,560.0,Semifurnished,1,1,0,No,GK Royale Hills,12500.0,76,1
2,2,0.0,Unfurnished,7,1,0,Yes,Magarpatta City Iris,25000.0,168,2
2,2,0.0,Semifurnished,5,1,0,No,Sai Paradise,15000.0,285,1
3,3,1200.0,Semifurnished,1,1,0,Yes,Megapolis Sangria Towers,21000.0,194,1
2,2,750.0,Semifurnished,1,1,2,Yes,Pharande Woodsville,14000.0,244,1
3,3,1300.0,Unfurnished,7,1,2,Yes,Sudhir Mandke Advantage Homes,28500.0,303,2
1,1,525.0,Unfurnished,2,1,0,Yes,Pratik Nagar,15000.0,249,2
3,3,1250.0,Unfurnished,6,1,2,Yes,Pristine Prolife,21000.0,258,2
2,3,750.0,Unfurnished,4,1,2,Yes,Dheeraj Jade Residences,10000.0,60,2
2,2,0.0,Unfurnished,3,1,0,Yes,Dheeraj Jade Residences,12000.0,60,2
3,3,2260.0,Unfurnished,2,3,2,Yes,Panchshil Towers,65000.0,232,2
1,1,0.0,Unfurnished,0,1,0,No,Vishrantwadi,10000.0,331,2
